# ADC channel: 0  gain: 100x  conv_time_us: 2602.8645  fs_Hz: 384.1921  dac_voltage_V: 0.05
# freq_Hz  psd_bg_V2perHz  psd_sig_V2perHz  psd_subtracted_V2perHz
1.07303655e+02 5.56983159e-13 2.72651626e-11 2.67081794e-11
1.07678843e+02 4.77037327e-13 2.60913184e-11 2.56142811e-11
1.08054030e+02 4.14557679e-13 2.21995151e-11 2.17849575e-11
1.08429218e+02 4.95499922e-13 2.38221253e-11 2.33266253e-11
1.08804406e+02 4.96295096e-13 2.51512922e-11 2.46549971e-11
1.09179593e+02 5.39348173e-13 2.20192144e-11 2.14798662e-11
1.09554781e+02 5.51073203e-13 2.86761691e-11 2.81250959e-11
1.09929968e+02 5.78791424e-13 2.81685089e-11 2.75897175e-11
1.10305156e+02 5.20674150e-13 2.16284222e-11 2.11077481e-11
1.10680344e+02 5.87336351e-13 1.92488957e-11 1.86615593e-11
1.11055531e+02 5.13426750e-13 2.08809958e-11 2.03675690e-11
1.11430719e+02 4.18491031e-13 2.48023510e-11 2.43838600e-11
1.11805906e+02 4.96613876e-13 2.69885851e-11 2.64919712e-11
1.12181094e+02 5.93194879e-13 2.54139087e-11 2.48207138e-11
1.12556282e+02 4.85318759e-13 1.77992659e-11 1.73139471e-11
1.12931469e+02 3.89397423e-13 1.97849476e-11 1.93955502e-11
1.13306657e+02 4.35550975e-13 2.70103270e-11 2.65747761e-11
1.13681844e+02 4.89887430e-13 2.57919792e-11 2.53020918e-11
1.14057032e+02 5.23731594e-13 2.88449048e-11 2.83211732e-11
1.14432220e+02 4.99569921e-13 2.75156818e-11 2.70161119e-11
1.14807407e+02 4.04534258e-13 2.65201315e-11 2.61155972e-11
1.15182595e+02 3.77112423e-13 2.68860641e-11 2.65089517e-11
1.15557783e+02 5.01046191e-13 2.14133037e-11 2.09122576e-11
1.15932970e+02 5.50731195e-13 2.43410982e-11 2.37903670e-11
1.16308158e+02 4.66177018e-13 2.33726012e-11 2.29064242e-11
1.16683345e+02 4.90498145e-13 2.52557171e-11 2.47652190e-11
1.17058533e+02 6.11224651e-13 2.08562627e-11 2.02450380e-11
1.17433721e+02 5.66924346e-13 2.05178848e-11 1.99509605e-11
1.17808908e+02 5.66510615e-13 2.98075003e-11 2.92409897e-11
1.18184096e+02 6.98199303e-13 2.77230272e-11 2.70248279e-11
1.18559283e+02 6.65142405e-13 2.88960686e-11 2.82309261e-11
1.18934471e+02 6.35966494e-13 2.85077255e-11 2.78717590e-11
1.19309659e+02 5.10784800e-13 2.17884414e-11 2.12776566e-11
1.19684846e+02 5.54417270e-13 2.47306945e-11 2.41762773e-11
1.20060034e+02 7.07630185e-13 2.53890810e-11 2.46814508e-11
1.20435221e+02 6.39304645e-13 2.74495196e-11 2.68102149e-11
1.20810409e+02 6.75933075e-13 2.69055588e-11 2.62296258e-11
1.21185597e+02 5.64787247e-13 3.05529782e-11 2.99881910e-11
1.21560784e+02 6.38521501e-13 2.46926745e-11 2.40541530e-11
1.21935972e+02 5.72532944e-13 2.01692128e-11 1.95966798e-11
1.22311159e+02 6.24850886e-13 2.30119511e-11 2.23871003e-11
1.22686347e+02 5.78278917e-13 2.17245852e-11 2.11463062e-11
1.23061535e+02 5.93978280e-13 2.51593252e-11 2.45653469e-11
1.23436722e+02 5.66585376e-13 2.26032862e-11 2.20367008e-11
1.23811910e+02 4.85449502e-13 2.38263585e-11 2.33409090e-11
1.24187097e+02 4.21572546e-13 2.09270686e-11 2.05054960e-11
1.24562285e+02 4.45926691e-13 2.04897802e-11 2.00438535e-11
1.24937473e+02 4.43607718e-13 2.41897182e-11 2.37461105e-11
1.25312660e+02 4.06609304e-13 2.43125235e-11 2.39059142e-11
1.25687848e+02 5.03486941e-13 2.47463984e-11 2.42429115e-11
1.26063035e+02 5.81791473e-13 2.69305227e-11 2.63487312e-11
1.26438223e+02 5.55354351e-13 2.31536594e-11 2.25983050e-11
1.26813411e+02 4.19839351e-13 2.63459324e-11 2.59260931e-11
1.27188598e+02 4.64607509e-13 2.22513565e-11 2.17867490e-11
1.27563786e+02 4.83908828e-13 2.45989067e-11 2.41149978e-11
1.27938973e+02 4.11936103e-13 2.79052872e-11 2.74933511e-11
1.28314161e+02 4.70044460e-13 2.47691665e-11 2.42991220e-11
1.28689349e+02 5.33372500e-13 2.40196037e-11 2.34862312e-11
1.29064536e+02 5.20438849e-13 2.48682173e-11 2.43477784e-11
1.29439724e+02 5.71995896e-13 2.69591973e-11 2.63872014e-11
1.29814912e+02 5.66718180e-13 2.73630405e-11 2.67963223e-11
1.30190099e+02 4.82303259e-13 2.61722614e-11 2.56899582e-11
1.30565287e+02 5.65207984e-13 2.67498804e-11 2.61846724e-11
1.30940474e+02 5.05168517e-13 2.44972557e-11 2.39920872e-11
1.31315662e+02 5.93352861e-13 2.37339732e-11 2.31406204e-11
1.31690850e+02 6.49086023e-13 2.39610369e-11 2.33119509e-11
1.32066037e+02 5.77501111e-13 2.53680913e-11 2.47905902e-11
1.32441225e+02 5.36846611e-13 2.32891649e-11 2.27523183e-11
1.32816412e+02 4.85822815e-13 2.24441373e-11 2.19583145e-11
1.33191600e+02 5.45511339e-13 2.40636671e-11 2.35181558e-11
1.33566788e+02 6.00298128e-13 2.45910300e-11 2.39907318e-11
1.33941975e+02 5.59991867e-13 1.97998489e-11 1.92398571e-11
1.34317163e+02 5.82654810e-13 2.88792526e-11 2.82965978e-11
1.34692350e+02 5.15234800e-13 3.13682467e-11 3.08530119e-11
1.35067538e+02 4.18656187e-13 3.21026108e-11 3.16839546e-11
1.35442726e+02 4.04681864e-13 2.79826188e-11 2.75779369e-11
1.35817913e+02 4.81294110e-13 2.49964858e-11 2.45151917e-11
1.36193101e+02 4.79341677e-13 2.43113664e-11 2.38320247e-11
1.36568288e+02 4.89540574e-13 1.98686083e-11 1.93790677e-11
1.36943476e+02 5.87427711e-13 2.05953450e-11 2.00079173e-11
1.37318664e+02 6.78871168e-13 2.87521725e-11 2.80733013e-11
1.37693851e+02 5.95199517e-13 2.73123870e-11 2.67171875e-11
1.38069039e+02 4.65238937e-13 1.82694503e-11 1.78042114e-11
1.38444226e+02 4.57781789e-13 2.49316462e-11 2.44738644e-11
1.38819414e+02 4.75497629e-13 2.52549874e-11 2.47794898e-11
1.39194602e+02 4.65078600e-13 2.59592388e-11 2.54941602e-11
1.39569789e+02 5.67980975e-13 2.32380326e-11 2.26700516e-11
1.39944977e+02 5.82598586e-13 2.57148655e-11 2.51322669e-11
1.40320164e+02 5.21583724e-13 2.09164022e-11 2.03948185e-11
1.40695352e+02 5.18625729e-13 2.12848946e-11 2.07662688e-11
1.41070540e+02 6.62506135e-13 2.47734786e-11 2.41109725e-11
