# ADC channel: 0  gain: 100x  conv_time_us: 2602.8645  fs_Hz: 384.1921
# background_V  signal_V
-4.24444722e-03 4.98980856e+00
-4.24683141e-03 4.98993587e+00
-4.25756024e-03 4.98986197e+00
-4.25159978e-03 4.98984528e+00
-4.27544164e-03 4.98988104e+00
-4.25279187e-03 4.99003744e+00
-4.25636815e-03 4.98982048e+00
-4.26590489e-03 4.98984909e+00
-4.25875233e-03 4.98987770e+00
-4.24683141e-03 4.98993015e+00
-4.24087094e-03 4.98995399e+00
-4.27305745e-03 4.98991108e+00
-4.25636815e-03 4.98995733e+00
-4.26828908e-03 4.98980713e+00
-4.25517606e-03 4.98975468e+00
-4.25636815e-03 4.98989296e+00
-4.25159978e-03 4.99002552e+00
-4.25875233e-03 4.98991203e+00
-4.25159978e-03 4.98985720e+00
-4.26590489e-03 4.98991585e+00
-4.25756024e-03 4.98984051e+00
-4.26352071e-03 4.98985863e+00
-4.24802350e-03 4.98986435e+00
-4.24563931e-03 4.98993254e+00
-4.25398396e-03 4.98987770e+00
-4.25517606e-03 4.98997784e+00
-4.25636815e-03 4.98979664e+00
-4.25517606e-03 4.98998117e+00
-4.27424954e-03 4.98996830e+00
-4.26948117e-03 4.98986673e+00
-4.26590489e-03 4.98986197e+00
-4.25398396e-03 4.98986816e+00
-4.26232861e-03 4.98991585e+00
-4.25636815e-03 4.99002171e+00
-4.25756024e-03 4.99011469e+00
-4.26828908e-03 4.98976898e+00
-4.24683141e-03 4.98995638e+00
-4.25040768e-03 4.98998737e+00
-4.24206303e-03 4.98983335e+00
-4.25517606e-03 4.98988104e+00
-4.25756024e-03 4.98984909e+00
-4.26471280e-03 4.98987055e+00
-4.26113652e-03 4.98997545e+00
-4.25636815e-03 4.98994541e+00
-4.24802350e-03 4.98992062e+00
-4.25636815e-03 4.98987293e+00
-4.24921559e-03 4.98994780e+00
-4.26590489e-03 4.98984051e+00
-4.25875233e-03 4.98981428e+00
-4.25159978e-03 4.98987150e+00
-4.26352071e-03 4.98987389e+00
-4.25875233e-03 4.98987150e+00
-4.27186536e-03 4.98990488e+00
-4.23491048e-03 4.98995495e+00
-4.25040768e-03 4.98995399e+00
-4.25517606e-03 4.98988485e+00
-4.26590489e-03 4.98993254e+00
-4.24921559e-03 4.98990154e+00
-4.26948117e-03 4.98999691e+00
-4.26352071e-03 4.98997641e+00
-4.25398396e-03 4.99000025e+00
-4.26113652e-03 4.98993492e+00
-4.26471280e-03 4.99009466e+00
-4.27186536e-03 4.98990870e+00
-4.23729466e-03 4.99012423e+00
-4.25875233e-03 4.98988342e+00
-4.25398396e-03 4.98995733e+00
-4.25398396e-03 4.98989534e+00
-4.25517606e-03 4.99003983e+00
-4.25040768e-03 4.98995972e+00
-4.23371838e-03 4.99005890e+00
-4.24802350e-03 4.98995972e+00
-4.25517606e-03 4.98994541e+00
-4.26471280e-03 4.99006939e+00
-4.25159978e-03 4.98985243e+00
-4.25636815e-03 4.98991919e+00
-4.25994443e-03 4.98988342e+00
-4.26471280e-03 4.98997879e+00
-4.25040768e-03 4.98997068e+00
-4.25040768e-03 4.98991680e+00
-4.26232861e-03 4.99004459e+00
-4.24206303e-03 4.99002171e+00
-4.25994443e-03 4.98984432e+00
-4.24325513e-03 4.98985624e+00
-4.26948117e-03 4.98984289e+00
-4.25279187e-03 4.98979664e+00
-4.25875233e-03 4.98983097e+00
-4.25398396e-03 4.98995399e+00
-4.23967885e-03 4.99000883e+00
-4.26352071e-03 4.98982763e+00
-4.24802350e-03 4.98989534e+00
-4.25159978e-03 4.98983479e+00
-4.24802350e-03 4.98983479e+00
-4.24444722e-03 4.98994923e+00
-4.24563931e-03 4.98992157e+00
-4.25159978e-03 4.98990870e+00
-4.26232861e-03 4.99000025e+00
-4.26352071e-03 4.98987293e+00
-4.25040768e-03 4.98980713e+00
-4.25159978e-03 4.98999691e+00
-4.25756024e-03 4.98976803e+00
-4.24444722e-03 4.99008608e+00
-4.22895001e-03 4.99003983e+00
-4.24921559e-03 4.98996210e+00
-4.25398396e-03 4.98988724e+00
-4.26352071e-03 4.98997068e+00
-4.23610257e-03 4.98991919e+00
-4.24563931e-03 4.98981810e+00
-4.26828908e-03 4.98992300e+00
-4.25159978e-03 4.98987627e+00
-4.25279187e-03 4.98988008e+00
-4.25517606e-03 4.98988008e+00
-4.24683141e-03 4.98999929e+00
-4.23610257e-03 4.98996687e+00
-4.24563931e-03 4.98996925e+00
-4.26113652e-03 4.98991919e+00
-4.25398396e-03 4.99006462e+00
-4.24921559e-03 4.99006128e+00
-4.26232861e-03 4.98984051e+00
-4.27067326e-03 4.98998737e+00
-4.26352071e-03 4.98996687e+00
-4.26828908e-03 4.98980856e+00
-4.26828908e-03 4.98986673e+00
-4.25279187e-03 4.98993826e+00
-4.25159978e-03 4.99005508e+00
-4.26590489e-03 4.99007654e+00
-4.26828908e-03 4.98994207e+00
-4.26352071e-03 4.98991919e+00
-4.28378629e-03 4.98997164e+00
-4.25398396e-03 4.98990965e+00
-4.24563931e-03 4.98994684e+00
-4.26948117e-03 4.98983097e+00
-4.23252629e-03 4.99001360e+00
-4.28497838e-03 4.98993254e+00
-4.26232861e-03 4.99001598e+00
-4.26232861e-03 4.98992777e+00
-4.26352071e-03 4.98999214e+00
-4.26113652e-03 4.98997545e+00
-4.25517606e-03 4.98999691e+00
-4.25756024e-03 4.98995256e+00
-4.24683141e-03 4.99006701e+00
-4.25994443e-03 4.99003267e+00
-4.25875233e-03 4.98993731e+00
-4.26709699e-03 4.98995018e+00
-4.24921559e-03 4.98998260e+00
-4.25994443e-03 4.98987865e+00
-4.26113652e-03 4.98990393e+00
-4.22537373e-03 4.98989439e+00
-4.27782582e-03 4.98989773e+00
-4.24921559e-03 4.98999786e+00
-4.27186536e-03 4.98995018e+00
-4.25875233e-03 4.98991346e+00
-4.26352071e-03 4.98988724e+00
-4.26232861e-03 4.99001932e+00
-4.25994443e-03 4.98986578e+00
-4.26590489e-03 4.99002886e+00
-4.24802350e-03 4.98998737e+00
-4.24921559e-03 4.98989296e+00
-4.25040768e-03 4.98993492e+00
-4.24802350e-03 4.98991203e+00
-4.25159978e-03 4.98992395e+00
-4.26471280e-03 4.98998833e+00
-4.25517606e-03 4.98979902e+00
-4.25756024e-03 4.98989058e+00
-4.26471280e-03 4.98998976e+00
-4.25040768e-03 4.98976898e+00
-4.26352071e-03 4.98987055e+00
-4.26590489e-03 4.98989439e+00
-4.26828908e-03 4.98998976e+00
-4.24444722e-03 4.98997641e+00
-4.24563931e-03 4.98999929e+00
-4.23848676e-03 4.98992157e+00
-4.27067326e-03 4.98986578e+00
-4.25398396e-03 4.98985004e+00
-4.24563931e-03 4.98991108e+00
-4.25994443e-03 4.98989534e+00
-4.25875233e-03 4.98999071e+00
-4.25517606e-03 4.98996687e+00
-4.24683141e-03 4.98980951e+00
-4.25875233e-03 4.98993492e+00
-4.24921559e-03 4.98983002e+00
-4.25756024e-03 4.98979902e+00
-4.23729466e-03 4.99006844e+00
-4.25159978e-03 4.99002647e+00
-4.26352071e-03 4.99005270e+00
-4.24802350e-03 4.98990154e+00
-4.26232861e-03 4.98993731e+00
-4.24683141e-03 4.99012327e+00
-4.25517606e-03 4.98983097e+00
-4.26709699e-03 4.98986340e+00
-4.24802350e-03 4.99000645e+00
-4.24206303e-03 4.98989534e+00
-4.27424954e-03 4.99013853e+00
-4.23729466e-03 4.98995972e+00
-4.25756024e-03 4.98995495e+00
-4.26828908e-03 4.98986816e+00
-4.23133420e-03 4.99006462e+00
-4.26948117e-03 4.98987293e+00
-4.24921559e-03 4.98991680e+00
-4.25517606e-03 4.98997545e+00
-4.25398396e-03 4.98996687e+00
-4.24921559e-03 4.98992538e+00
-4.25875233e-03 4.98989296e+00
-4.25398396e-03 4.98988962e+00
-4.24325513e-03 4.98995399e+00
-4.23967885e-03 4.98997641e+00
-4.24087094e-03 4.99004316e+00
-4.24921559e-03 4.98995876e+00
-4.25279187e-03 4.98985863e+00
-4.25636815e-03 4.99005175e+00
-4.24563931e-03 4.98985863e+00
-4.25994443e-03 4.98998356e+00
